MCC,Description,Required Abbreviation (Payment Brand) M,Required Abbreviation (Payment Brand) V,Valid Payment Brand(s)
3086,Carnival Airlines,CARNIVAL AIR,CARNIVAL AIR,V
3087,Metro Airlines,METROAI,METRO AIR,"V, M"
3088,Croatia Air,CROATIA,CROATIA AIR,"V, M"
3089,Transaero,TRANSAERO,TRANSAERO,"V, M"
3090,Uni Airways Corporation,UNIAIR,UNIAIR,"V, M"
3094,Zambia Airways,ZAMBIA A,ZAMBIA AIR,"V, M"
3096,Air Zimbabwe Corp,AIRZIMBA,AIR ZIMBABWE,"V, M"
3097,Spanair,SPANAIR,SPANAIR,"V, M"
3098,Asiana Airlines,ASIANA,ASIANA AIR,"V, M"
3099,Cathay Pacific,CATHAYPA,CATHAYPACAIR,"V, M"
3100,Malaysian Airline System,MALAY AI,MALAY AIR,"V, M"
3102,Iberia,IBERIA,IBERIA AIR,"V, M"
3103,Garuda,GARUDA,GARUDA AIR,"V, M"
3106,Braathens S.A.F.E.,BRAATHEN,BRAATHENS,"V, M"
3110,Wings Airways,WINGS AIR,WINGS AIR,V
3111,British Midland,BRITISH,BRMIDLANDAIR,"V, M"
3112,Windward Island,WINDWARD,WINDWRDISAIR,"V, M"
3115,Tower Air,TOWERAIR,TOWERAIR,"V, M"
3117,Venezolana International De Aviacion,VIASA,VIASA,"V, M"
3118,Valley Airlines,VALLEY AIR,VALLEY AIR,"V, M"
3125,Tan Sahsa,TAN AIR,TAN AIR,"V, M"
3126,Talair PTY Ltd.,TALAIR,TALAIR,V
3127,Taca International,TACA INT,TACAINTL AIR,"V, M"
3129,Surinam Airways,SURINA,SURINAM AIR,"V, M"
3130,Sunworld International,SUNWORLD,SUNWORLD AIR,"V, M"
3131,VLM Airlines,VL,VLM AIR,"V, M"
3132,Frontier Airlines,FRONTIER,FRONTIER AIR,"V, M"
3133,Sunbelt Airlines,SUNBELT AIR,SUNBELT AIR,V
3135,Sudan Airways,SUDAN AIR,SUDAN AIR,V
